Date,Category,Amount,Description
2018-06-21,Other,89.45,
2018-06-22,Other,2000.0,
2018-06-23,Other,8.5,
2018-06-23,Shopping,74.97,
2018-06-25,Other,942.76,
2018-06-25,Other,942.76,
2018-06-25,Other,74.99,
2018-06-26,Groceries,9.62,
2018-06-27,Other,3.5,
2018-06-27,Other,22.66,
2018-06-28,Groceries,7.57,
2018-07-01,Shopping,13.13,
2018-07-02,Other,1247.44,
2018-07-02,Other,25.0,
2018-07-02,Other,36.44,
2018-07-04,Transport,34.48,
2018-07-04,Other,11.76,
2018-07-05,Groceries,44.25,
2018-07-05,Shopping,212.32,
2018-07-06,Other,6.41,
2018-07-06,Other,2000.0,
2018-07-08,Other,259.87,
2018-07-09,Other,242.16,
2018-07-09,Other,259.87,
2018-07-09,Entertainment,10.69,
2018-07-10,Other,242.16,
2018-07-10,Groceries,5.39,
2018-07-10,Utilities,30.0,
2018-07-11,Other,89.46,
2018-07-14,Transport,33.51,
2018-07-15,Transport,36.24,
2018-07-17,Other,15.23,
2018-07-17,Utilities,35.0,
2018-07-17,Utilities,60.0,
2018-07-18,Other,28.54,
2018-07-18,Other,75.0,
2018-07-20,Other,61.43,
2018-07-20,Other,102.88,
2018-07-20,Other,102.88,
2018-07-20,Other,2000.0,
2018-07-21,Groceries,28.93,
2018-07-21,Other,30.0,
2018-07-23,Other,61.43,
2018-07-23,Other,9.58,
2018-07-24,Other,26.59,
2018-07-25,Other,74.99,
2018-07-26,Transport,33.67,
2018-07-28,Groceries,7.61,
2018-07-30,Other,34.38,
2018-07-31,Other,6.6,
2018-08-01,Shopping,13.13,
2018-08-02,Other,816.27,
2018-08-02,Transport,40.44,
2018-08-02,Other,1247.44,
2018-08-03,Groceries,6.27,
2018-08-03,Other,2000.0,
2018-08-04,Other,11.76,
2018-08-06,Shopping,76.47,
2018-08-09,Entertainment,10.69,
2018-08-09,Utilities,30.0,
2018-08-10,Other,89.4,
2018-08-11,Other,13.67,
2018-08-11,Transport,33.66,
2018-08-15,Other,269.56,
2018-08-15,Other,159.38,
2018-08-15,Transport,41.07,
2018-08-15,Groceries,5.64,
2018-08-15,Utilities,60.0,
2018-08-16,Other,269.56,
2018-08-16,Utilities,35.0,
2018-08-17,Other,2000.0,
2018-08-17,Shopping,14.98,
2018-08-18,Shopping,23.47,
2018-08-20,Other,75.0,
2018-08-21,Other,34.18,
2018-08-21,Other,99.76,
2018-08-21,Other,99.76,
2018-08-22,Other,34.18,
2018-08-24,Other,42.31,
2018-08-27,Other,74.99,
2018-08-30,Transport,35.65,
2018-08-31,Groceries,11.64,
2018-08-31,Other,2000.0,
2018-09-01,Other,47.4,
2018-09-01,Shopping,13.13,
2018-09-02,Shopping,109.83,
2018-09-04,Other,687.29,
2018-09-04,Other,687.29,
2018-09-04,Other,1247.44,
2018-09-04,Other,11.76,
2018-09-07,Utilities,30.0,
2018-09-09,Other,18.0,
2018-09-09,Entertainment,10.69,
2018-09-11,Transport,38.86,
2018-09-11,Groceries,7.87,
2018-09-12,Groceries,47.16,
2018-09-12,Other,89.4,
2018-09-13,Groceries,5.64,
2018-09-14,Other,134.34,
2018-09-14,Other,2000.0,
2018-09-17,Groceries,10.17,
2018-09-17,Groceries,8.8,
2018-09-17,Utilities,35.0,
2018-09-18,Groceries,4.32,
2018-09-18,Utilities,60.0,
2018-09-19,Other,75.0,
2018-09-19,Other,30.0,
2018-09-20,Shopping,47.38,
2018-09-22,Other,69.4,
2018-09-22,Other,6.83,
2018-09-25,Other,74.99,
2018-09-25,Other,48.64,
2018-09-26,Other,5.0,
2018-09-26,Transport,38.0,
2018-09-27,Transport,40.71,
2018-09-28,Other,128.12,
2018-09-28,Other,284.96,
2018-09-28,Other,284.96,
2018-09-28,Groceries,13.36,
2018-09-28,Other,2000.0,
2018-09-29,Other,23.26,
2018-09-29,Other,46.7,
2018-10-01,Other,3.0,
2018-10-01,Other,128.12,
2018-10-01,Groceries,15.66,
2018-10-01,Shopping,13.13,
2018-10-02,Other,124.03,
2018-10-02,Other,124.03,
2018-10-02,Other,1209.18,
2018-10-04,Other,11.76,
2018-10-06,Other,27.0,
2018-10-08,Transport,38.06,
2018-10-08,Other,80.65,
2018-10-08,Other,31.2,
2018-10-09,Entertainment,10.69,
2018-10-09,Shopping,19.98,
2018-10-09,Utilities,30.0,
2018-10-10,Groceries,53.68,
2018-10-11,Other,89.4,
2018-10-12,Other,2000.0,
2018-10-16,Utilities,60.0,
2018-10-17,Utilities,35.0,
2018-10-18,Other,75.0,
2018-10-18,Groceries,33.55,
2018-10-18,Other,45.24,
2018-10-18,Other,8.0,
2018-10-21,Other,544.37,
2018-10-22,Other,353.83,
2018-10-22,Other,353.83,
2018-10-22,Transport,34.66,
2018-10-23,Groceries,7.57,
2018-10-25,Other,74.99,
2018-10-25,Shopping,29.98,
2018-10-26,Other,2000.0,
2018-10-27,Other,25.4,
2018-10-28,Other,12.71,
2018-10-28,Other,14.75,
2018-10-28,Groceries,92.49,
2018-10-28,Other,54.0,
2018-10-31,Groceries,5.64,
2018-11-01,Shopping,13.13,
2018-11-02,Other,262.51,
2018-11-02,Other,262.51,
2018-11-02,Other,1209.18,
2018-11-03,Other,23.66,
2018-11-04,Other,11.76,
2018-11-05,Transport,36.51,
2018-11-06,Shopping,53.95,
2018-11-06,Utilities,30.0,
2018-11-08,Groceries,5.64,
2018-11-09,Entertainment,10.69,
2018-11-09,Other,2000.0,
2018-11-10,Other,27.0,
2018-11-10,Other,14.19,
2018-11-10,Groceries,24.4,
2018-11-12,Groceries,10.18,
2018-11-12,Other,22.33,
2018-11-13,Groceries,4.8,
2018-11-13,Groceries,37.43,
2018-11-13,Groceries,10.15,
2018-11-13,Other,89.54,
2018-11-14,Utilities,60.0,
2018-11-16,Utilities,35.0,
2018-11-17,Other,22.8,
2018-11-17,Other,15.47,
2018-11-17,Other,6.4,
2018-11-17,Other,23.26,
2018-11-19,Other,20.0,
2018-11-19,Transport,29.15,
2018-11-19,Other,10.02,
2018-11-20,Other,75.0,
2018-11-20,Other,421.96,
2018-11-21,Groceries,5.64,
2018-11-21,Other,37.41,
2018-11-23,Other,2000.0,
2018-11-26,Other,16.8,
2018-11-26,Other,74.99,
2018-11-27,Other,17.0,
2018-11-27,Other,28.4,
2018-11-29,Other,582.99,
2018-11-29,Other,751.5,
2018-11-30,Other,582.99,
2018-11-30,Groceries,6.27,
2018-12-01,Groceries,5.64,
2018-12-01,Other,8.0,
2018-12-01,Shopping,13.13,
2018-12-03,Transport,30.03,
2018-12-03,Groceries,148.15,
2018-12-03,Other,1209.18,
2018-12-04,Other,3.0,
2018-12-04,Other,20.65,
2018-12-04,Other,11.76,
2018-12-06,Groceries,21.38,
2018-12-06,Groceries,13.48,
2018-12-06,Utilities,40.0,
2018-12-07,Other,30.0,
2018-12-07,Other,2000.0,
2018-12-08,Groceries,12.64,
2018-12-09,Entertainment,10.69,
2018-12-11,Other,10.29,
2018-12-12,Other,89.54,
2018-12-13,Other,27.0,
2018-12-14,Groceries,21.39,
2018-12-14,Other,17.1,
2018-12-14,Utilities,60.0,
2018-12-17,Other,63.0,
2018-12-17,Transport,20.01,
2018-12-17,Utilities,35.0,
2018-12-18,Other,3.0,
2018-12-18,Other,311.02,
2018-12-18,Other,311.02,
2018-12-18,Other,56.52,
2018-12-18,Shopping,49.99,
2018-12-18,Shopping,41.72,
2018-12-18,Shopping,24.3,
2018-12-19,Other,75.0,
2018-12-19,Shopping,43.01,
2018-12-20,Other,464.03,
2018-12-20,Transport,30.38,
2018-12-21,Other,464.03,
2018-12-21,Other,2000.0,
2018-12-22,Other,21.38,
2018-12-22,Other,22.14,
2018-12-23,Other,28.0,
2018-12-24,Other,38.4,
2018-12-26,Other,56.07,
2018-12-26,Transport,32.47,
2018-12-26,Transport,7.48,
2018-12-26,Other,75.99,
2018-12-26,Shopping,44.99,
2018-12-28,Other,12.0,
2018-12-29,Other,14.0,
2018-12-29,Other,860.05,
2018-12-29,Groceries,55.04,
2019-01-01,Shopping,13.09,
2019-01-02,Other,499.6,
2019-01-03,Other,1100.0,
2019-01-03,Shopping,42.1,
2019-01-04,Other,2000.0,
2019-01-05,Other,23.49,
2019-01-08,Utilities,45.0,
2019-01-09,Other,491.45,
2019-01-09,Other,491.45,
2019-01-09,Other,281.84,
2019-01-09,Entertainment,10.69,
2019-01-10,Groceries,58.79,
2019-01-10,Other,30.0,
2019-01-10,Other,65.0,
2019-01-14,Transport,28.92,
2019-01-15,Groceries,6.06,
2019-01-16,Utilities,35.0,
2019-01-16,Utilities,60.0,
2019-01-18,Other,75.0,
2019-01-18,Other,2000.0,
2019-01-21,Other,277.99,
2019-01-22,Other,277.99,
2019-01-24,Groceries,21.06,
2019-01-24,Shopping,11.7,
2019-01-24,Shopping,4.21,
2019-01-25,Other,75.0,
2019-01-31,Other,1900.0,
2019-01-31,Transport,31.32,
2019-02-01,Other,2000.0,
2019-02-01,Other,9.47,
2019-02-01,Shopping,13.09,
2019-02-04,Other,86.97,
2019-02-04,Entertainment,11.76,
2019-02-05,Other,1100.0,
2019-02-07,Utilities,65.0,
2019-02-08,Other,3.0,
2019-02-08,Other,27.47,
2019-02-09,Entertainment,10.69,
2019-02-11,Other,3.0,
2019-02-11,Other,133.95,
2019-02-11,Transport,24.01,
2019-02-12,Groceries,30.54,
2019-02-12,Other,65.0,
2019-02-13,Groceries,8.21,
2019-02-15,Other,207.47,
2019-02-15,Other,207.47,
2019-02-15,Groceries,4.59,
2019-02-15,Other,2000.0,
2019-02-15,Utilities,60.0,
2019-02-16,Other,8.0,
2019-02-16,Other,32.75,
2019-02-16,Shopping,37.45,
2019-02-19,Other,574.84,
2019-02-19,Utilities,35.0,
2019-02-20,Other,75.0,
2019-02-20,Other,292.54,
2019-02-20,Other,30.0,
2019-02-21,Other,292.54,
2019-02-21,Groceries,46.96,
2019-02-25,Transport,33.8,
2019-02-25,Other,75.0,
2019-02-27,Other,25.77,
2019-02-28,Groceries,32.07,
2019-03-01,Other,2000.0,
2019-03-01,Shopping,13.09,
2019-03-04,Groceries,92.04,
2019-03-04,Other,1100.0,
2019-03-04,Entertainment,11.76,
2019-03-05,Other,7.0,
2019-03-06,Other,491.86,
2019-03-08,Transport,34.08,
2019-03-08,Shopping,27.17,
2019-03-08,Utilities,49.0,
2019-03-09,Entertainment,10.69,
2019-03-12,Other,65.0,
2019-03-12,Other,3.02,
2019-03-13,Other,532.86,
2019-03-13,Other,301.79,
2019-03-14,Other,305.27,
2019-03-14,Other,301.79,
2019-03-14,Other,8.0,
2019-03-15,Other,2000.0,
2019-03-15,Utilities,60.0,
2019-03-18,Other,320.99,
2019-03-18,Groceries,16.23,
2019-03-19,Shopping,13.84,
2019-03-19,Utilities,35.0,
2019-03-20,Other,75.0,
2019-03-22,Transport,37.51,
2019-03-23,Other,5.2,
2019-03-25,Other,75.0,
2019-03-26,Shopping,16.04,
2019-03-27,Other,49.63,
2019-03-27,Groceries,4.46,
2019-03-29,Other,2000.0,
2019-03-30,Other,12.84,
2019-03-31,Other,957.6,
2019-04-01,Other,1552.65,
2019-04-01,Other,600.51,
2019-04-01,Shopping,13.09,
2019-04-02,Other,1100.0,
2019-04-04,Groceries,5.64,
2019-04-04,Shopping,35.9,
2019-04-04,Entertainment,11.76,
2019-04-06,Shopping,27.54,
2019-04-08,Utilities,30.0,
2019-04-09,Other,436.75,
2019-04-09,Groceries,10.7,
2019-04-09,Other,30.0,
2019-04-09,Entertainment,10.69,
2019-04-10,Other,65.0,
2019-04-12,Other,44.93,
2019-04-12,Groceries,41.34,
2019-04-12,Other,2000.0,
2019-04-13,Transport,38.94,
2019-04-13,Groceries,16.87,
2019-04-13,Other,20.64,
2019-04-15,Utilities,60.0,
2019-04-16,Utilities,35.0,
2019-04-18,Other,75.0,
2019-04-18,Other,604.32,
2019-04-18,Other,458.1,
2019-04-19,Other,604.32,
2019-04-19,Groceries,10.89,
2019-04-22,Other,14.4,
2019-04-22,Other,64.52,
2019-04-23,Other,29.56,
2019-04-25,Other,75.0,
2019-04-26,Other,2000.0,
2019-04-27,Other,40.0,
2019-04-27,Other,268.96,
2019-04-27,Other,14.74,
2019-04-29,Other,268.96,
2019-04-29,Groceries,5.64,
2019-04-30,Transport,39.08,
2019-05-01,Shopping,13.09,
2019-05-02,Other,1100.0,
2019-05-03,Other,758.07,
2019-05-04,Entertainment,13.9,
2019-05-06,Shopping,16.94,
2019-05-07,Shopping,38.56,
2019-05-09,Other,331.69,
2019-05-09,Entertainment,10.69,
2019-05-09,Shopping,3.2,
2019-05-09,Utilities,30.0,
2019-05-10,Other,21.39,
2019-05-10,Other,65.0,
2019-05-10,Other,2000.0,
2019-05-13,Other,480.88,
2019-05-13,Transport,35.24,
2019-05-13,Other,98.19,
2019-05-13,Other,23.11,
2019-05-14,Groceries,2.02,
2019-05-15,Utilities,60.0,
2019-05-17,Other,575.33,
2019-05-17,Utilities,35.0,
2019-05-20,Other,75.0,
2019-05-20,Other,415.47,
2019-05-20,Other,32.53,
2019-05-24,Other,765.68,
2019-05-24,Other,27.96,
2019-05-24,Other,2000.0,
2019-05-24,Other,8.0,
2019-05-25,Transport,36.76,
2019-05-25,Other,30.99,
2019-05-27,Other,34.33,
2019-05-28,Other,765.68,
2019-05-30,Other,75.0,
2019-05-30,Other,34.82,
2019-06-01,Shopping,13.09,
2019-06-03,Other,2.75,
2019-06-03,Other,260.95,
2019-06-03,Other,1100.0,
2019-06-04,Other,30.0,
2019-06-04,Entertainment,13.9,
2019-06-05,Groceries,23.0,
2019-06-05,Other,23.24,
2019-06-06,Other,3.75,
2019-06-06,Groceries,5.64,
2019-06-07,Other,458.56,
2019-06-07,Other,2000.0,
2019-06-07,Utilities,30.0,
2019-06-09,Entertainment,10.69,
2019-06-12,Other,65.0,
2019-06-13,Other,152.72,
2019-06-13,Other,152.72,
2019-06-14,Groceries,10.69,
2019-06-15,Transport,33.16,
2019-06-17,Utilities,35.0,
2019-06-17,Utilities,60.0,
2019-06-18,Other,15.0,
2019-06-18,Transport,41.83,
2019-06-19,Other,75.0,
2019-06-20,Other,375.26,
2019-06-20,Other,9200.0,
2019-06-20,Other,100.68,
2019-06-21,Other,100.68,
2019-06-21,Other,2000.0,
2019-06-24,Other,15.0,
2019-06-28,Transport,30.64,
2019-06-30,Other,75.0,
2019-07-01,Other,7.0,
2019-07-01,Groceries,99.47,
2019-07-01,Other,24.97,
2019-07-01,Other,24.0,
2019-07-01,Shopping,13.09,
2019-07-02,Other,229.9,
2019-07-02,Other,1100.0,
2019-07-04,Entertainment,13.9,
2019-07-05,Other,19.0,
2019-07-05,Other,2250.0,
2019-07-06,Other,220.08,
2019-07-06,Groceries,92.98,
2019-07-06,Other,23.26,
2019-07-07,Other,103.14,
2019-07-08,Other,305.28,
2019-07-08,Other,220.08,
2019-07-09,Other,549.72,
2019-07-09,Entertainment,10.69,
2019-07-10,Other,65.0,
2019-07-10,Utilities,30.0,
2019-07-15,Groceries,87.14,
2019-07-16,Shopping,89.99,
2019-07-16,Utilities,60.0,
2019-07-17,Utilities,35.0,
2019-07-18,Other,75.0,
2019-07-18,Other,814.5,
2019-07-18,Transport,36.42,
2019-07-18,Groceries,29.83,
2019-07-18,Other,8.82,
2019-07-19,Other,115.52,
2019-07-19,Other,2250.0,
2019-07-19,Other,28.0,
2019-07-22,Other,257.08,
2019-07-22,Other,26.67,
2019-07-23,Other,257.08,
2019-07-24,Other,2.5,
2019-07-27,Other,30.0,
2019-07-28,Other,44.31,
2019-07-29,Groceries,5.35,
2019-07-29,Other,44.92,
2019-07-30,Groceries,15.77,
2019-07-30,Other,75.0,
2019-08-01,Shopping,13.09,
2019-08-02,Other,1100.0,
2019-08-02,Other,2250.0,
2019-08-03,Transport,36.36,
2019-08-03,Groceries,3.96,
2019-08-03,Other,23.47,
2019-08-04,Entertainment,13.9,
2019-08-05,Other,18.0,
2019-08-05,Other,349.28,
2019-08-05,Other,117.65,
2019-08-06,Other,521.17,
2019-08-06,Other,117.65,
2019-08-06,Other,125.0,
2019-08-08,Groceries,11.72,
2019-08-09,Entertainment,10.69,
2019-08-09,Utilities,30.0,
2019-08-12,Other,65.0,
2019-08-12,Other,26.67,
2019-08-14,Other,2.75,
2019-08-15,Other,335.2,
2019-08-15,Utilities,60.0,
2019-08-16,Other,2250.0,
2019-08-16,Utilities,35.0,
2019-08-17,Other,87.17,
2019-08-17,Groceries,33.15,
2019-08-17,Other,19.0,
2019-08-17,Other,3.5,
2019-08-19,Other,1248.95,
2019-08-20,Other,75.0,
2019-08-20,Other,2.75,
2019-08-21,Transport,34.69,
2019-08-23,Other,2.75,
2019-08-25,Other,39.43,
2019-08-26,Other,66.75,
2019-08-29,Other,3.0,
2019-08-30,Other,2.75,
2019-08-30,Other,75.0,
2019-08-30,Other,2250.0,
2019-08-31,Other,68.04,
2019-08-31,Other,41.78,
2019-09-01,Shopping,13.09,
2019-09-03,Other,1100.0,
2019-09-03,Other,41.24,
2019-09-04,Entertainment,13.9,
2019-09-05,Other,3.75,
2019-09-06,Other,1390.37,
2019-09-06,Other,1390.37,
2019-09-06,Other,502.75,
2019-09-07,Other,12.87,
2019-09-08,Other,19.3,
2019-09-09,Transport,28.77,
2019-09-09,Groceries,65.09,
2019-09-09,Other,26.25,
2019-09-09,Entertainment,10.69,
2019-09-09,Utilities,30.0,
2019-09-11,Other,360.56,
2019-09-11,Other,65.0,
2019-09-12,Other,360.56,
2019-09-13,Other,2.75,
2019-09-13,Other,2250.0,
2019-09-14,Groceries,46.44,
2019-09-15,Shopping,47.66,
2019-09-16,Other,90.57,
2019-09-16,Other,90.57,
2019-09-16,Utilities,35.0,
2019-09-17,Other,186.13,
2019-09-17,Utilities,60.0,
2019-09-18,Other,75.0,
2019-09-18,Other,1606.46,
2019-09-19,Other,40.81,
2019-09-19,Other,2.75,
2019-09-20,Other,9.43,
2019-09-22,Other,131.1,
2019-09-23,Other,9.43,
2019-09-23,Groceries,27.71,
2019-09-23,Shopping,24.63,
2019-09-27,Other,2250.0,
2019-09-28,Transport,33.46,
2019-09-28,Transport,4.27,
2019-09-30,Other,1.75,
2019-09-30,Other,75.0,
2018-01-01,Shopping,11.11,
2018-01-02,Other,1247.44,
2018-01-02,Other,24.22,
2018-01-03,Other,2298.09,
2018-01-04,Other,11.76,
2018-01-05,Other,25.85,
2018-01-06,Other,18.45,
2018-01-08,Utilities,45.0,
2018-01-08,Other,15.38,
2018-01-09,Entertainment,10.69,
2018-01-10,Other,89.46,
2018-01-11,Transport,34.87,
2018-01-11,Groceries,43.54,
2018-01-12,Other,2000.0,
2018-01-13,Other,32.91,
2018-01-13,Shopping,39.05,
2018-01-15,Groceries,44.19,
2018-01-15,Other,64.11,
2018-01-16,Utilities,35.0,
2018-01-16,Utilities,60.0,
2018-01-19,Other,2000.0,
2018-01-20,Shopping,50.21,
2018-01-22,Other,554.99,
2018-01-22,Other,309.81,
2018-01-22,Other,554.99,
2018-01-22,Other,17.38,
2018-01-23,Other,309.81,
2018-01-24,Other,3.0,
2018-01-25,Other,69.99,
2018-01-29,Transport,30.42,
2018-01-29,Other,25.0,
2018-01-29,Other,17.62,
2018-02-01,Groceries,27.79,
2018-02-01,Shopping,11.11,
2018-02-02,Other,1247.44,
2018-02-02,Other,2000.0,
2018-02-03,Other,57.02,
2018-02-04,Other,11.76,
2018-02-05,Other,145.14,
2018-02-06,Other,154.13,
2018-02-07,Other,154.13,
2018-02-07,Utilities,65.0,
2018-02-09,Other,30.0,
2018-02-09,Entertainment,10.69,
2018-02-10,Other,10.66,
2018-02-11,Other,106.8,
2018-02-12,Transport,36.47,
2018-02-12,Other,89.52,
2018-02-14,Other,14.0,
2018-02-15,Other,10.0,
2018-02-15,Utilities,60.0,
2018-02-16,Other,2000.0,
2018-02-16,Other,8.0,
2018-02-16,Utilities,35.0,
2018-02-20,Groceries,35.95,
2018-02-20,Other,23.51,
2018-02-21,Other,2.0,
2018-02-22,Other,4.0,
2018-02-26,Other,765.37,
2018-02-26,Other,156.11,
2018-02-26,Other,765.37,
2018-02-26,Other,74.99,
2018-02-26,Other,85.52,
2018-02-26,Transport,32.21,
2018-02-27,Other,156.11,
2018-03-01,Groceries,32.07,
2018-03-01,Shopping,13.13,
2018-03-02,Other,1247.44,
2018-03-02,Other,2000.0,
2018-03-03,Groceries,23.74,
2018-03-04,Groceries,10.69,
2018-03-04,Other,11.76,
2018-03-04,Other,42.24,
2018-03-05,Other,3.0,
2018-03-05,Other,761.59,
2018-03-05,Other,761.59,
2018-03-07,Other,3.5,
2018-03-08,Transport,34.9,
2018-03-08,Utilities,52.0,
2018-03-09,Groceries,20.72,
2018-03-09,Groceries,5.09,
2018-03-09,Entertainment,10.69,
2018-03-12,Groceries,19.35,
2018-03-12,Other,89.52,
2018-03-13,Shopping,45.75,
2018-03-14,Groceries,22.5,
2018-03-14,Other,8.49,
2018-03-15,Other,3.5,
2018-03-15,Utilities,60.0,
2018-03-16,Other,2000.0,
2018-03-17,Other,19.5,
2018-03-17,Other,23.34,
2018-03-19,Other,36.48,
2018-03-19,Utilities,35.0,
2018-03-20,Shopping,14.97,
2018-03-22,Transport,30.55,
2018-03-23,Other,559.91,
2018-03-23,Other,559.91,
2018-03-23,Groceries,11.76,
2018-03-26,Other,74.99,
2018-03-28,Groceries,16.06,
2018-03-28,Other,24.98,
2018-03-29,Other,17.64,
2018-03-30,Groceries,9.09,
2018-03-30,Other,2000.0,
2018-03-31,Other,38.32,
2018-03-31,Other,24.74,
2018-03-31,Other,41.16,
2018-04-01,Groceries,80.79,
2018-04-01,Other,59.48,
2018-04-01,Shopping,13.13,
2018-04-02,Other,817.14,
2018-04-02,Other,817.14,
2018-04-02,Groceries,82.36,
2018-04-02,Other,13.89,
2018-04-02,Other,1247.44,
2018-04-03,Other,6.41,
2018-04-04,Other,363.08,
2018-04-04,Other,363.08,
2018-04-04,Other,11.76,
2018-04-06,Transport,4.58,
2018-04-06,Other,9.76,
2018-04-08,Other,22.0,
2018-04-09,Groceries,6.48,
2018-04-09,Entertainment,10.69,
2018-04-09,Utilities,30.0,
2018-04-11,Other,89.52,
2018-04-12,Other,7.0,
2018-04-12,Other,30.0,
2018-04-13,Transport,37.98,
2018-04-13,Other,2000.0,
2018-04-13,Other,10.66,
2018-04-14,Other,11.61,
2018-04-14,Other,41.0,
2018-04-16,Other,75.0,
2018-04-16,Utilities,35.0,
2018-04-18,Utilities,60.0,
2018-04-20,Other,24.22,
2018-04-21,Groceries,4.32,
2018-04-21,Other,35.15,
2018-04-22,Groceries,21.32,
2018-04-23,Other,42.7,
2018-04-24,Other,224.7,
2018-04-24,Shopping,41.34,
2018-04-25,Other,210.79,
2018-04-25,Other,74.99,
2018-04-26,Other,769.72,
2018-04-26,Other,1216.94,
2018-04-26,Other,1216.94,
2018-04-27,Other,769.72,
2018-04-27,Other,2000.0,
2018-04-28,Groceries,22.98,
2018-04-29,Transport,39.0,
2018-04-29,Groceries,51.05,
2018-04-29,Other,68.47,
2018-04-30,Groceries,5.09,
2018-05-01,Shopping,13.13,
2018-05-02,Other,1247.44,
2018-05-03,Shopping,49.72,
2018-05-04,Groceries,42.23,
2018-05-04,Other,11.76,
2018-05-05,Other,7.27,
2018-05-05,Other,20.52,
2018-05-06,Other,22.37,
2018-05-06,Shopping,117.69,
2018-05-09,Other,601.4,
2018-05-09,Other,601.4,
2018-05-09,Entertainment,10.69,
2018-05-09,Utilities,30.0,
2018-05-10,Other,111.18,
2018-05-11,Groceries,57.32,
2018-05-11,Other,2000.0,
2018-05-11,Other,8000.0,
2018-05-12,Other,27.77,
2018-05-12,Transport,33.3,
2018-05-12,Other,78.0,
2018-05-14,Groceries,67.63,
2018-05-15,Utilities,60.0,
2018-05-17,Other,29.0,
2018-05-17,Utilities,35.0,
2018-05-18,Other,75.0,
2018-05-18,Shopping,6.41,
2018-05-19,Other,207.08,
2018-05-19,Groceries,31.0,
2018-05-19,Other,23.26,
2018-05-21,Other,283.07,
2018-05-21,Other,26.04,
2018-05-21,Shopping,32.5,
2018-05-22,Other,283.07,
2018-05-24,Transport,39.44,
2018-05-25,Other,74.99,
2018-05-25,Other,2000.0,
2018-05-28,Entertainment,9.62,
2018-05-28,Groceries,91.03,
2018-05-29,Other,20.0,
2018-05-29,Other,6.25,
2018-06-01,Transport,38.63,
2018-06-01,Groceries,6.11,
2018-06-01,Shopping,13.13,
2018-06-02,Other,235.18,
2018-06-02,Other,466.36,
2018-06-03,Other,65.81,
2018-06-04,Other,235.18,
2018-06-04,Groceries,24.12,
2018-06-04,Other,1247.44,
2018-06-04,Other,11.76,
2018-06-06,Other,4.0,
2018-06-08,Other,2000.0,
2018-06-08,Utilities,30.0,
2018-06-09,Other,16.18,
2018-06-09,Groceries,9.56,
2018-06-09,Entertainment,10.69,
2018-06-10,Groceries,46.01,
2018-06-12,Groceries,12.55,
2018-06-12,Other,89.46,
2018-06-14,Other,283.44,
2018-06-14,Other,283.44,
2018-06-14,Groceries,7.02,
2018-06-15,Utilities,60.0,
2018-06-16,Other,3.0,
2018-06-16,Other,22.66,
2018-06-16,Groceries,13.9,
2018-06-18,Utilities,35.0,
2018-06-19,Transport,38.52,
2018-06-19,Groceries,2.69,
2018-06-20,Other,75.0,
2018-06-20,Other,89.45,
2018-06-20,Other,30.0,
2018-06-21,Other,89.45,
2018-06-22,Other,2000.0,
2018-06-23,Other,8.5,
2018-06-23,Shopping,74.97,
2018-06-25,Other,942.76,
2018-06-25,Other,942.76,
2018-06-25,Other,74.99,
2018-06-26,Groceries,9.62,
2018-06-27,Other,3.5,
2018-06-27,Other,22.66,
2018-06-28,Groceries,7.57,
2018-07-01,Shopping,13.13,
2018-07-02,Other,1247.44,
2018-07-02,Other,25.0,
2018-07-02,Other,36.44,
2018-07-04,Transport,34.48,
2018-07-04,Other,11.76,
2018-07-05,Groceries,44.25,
2018-07-05,Shopping,212.32,
2018-07-06,Other,6.41,
2018-07-06,Other,2000.0,
2018-07-08,Other,259.87,
2018-07-09,Other,242.16,
2018-07-09,Other,259.87,
2018-07-09,Entertainment,10.69,
2018-07-10,Other,242.16,
2018-07-10,Groceries,5.39,
2018-07-10,Utilities,30.0,
2018-07-11,Other,89.46,
2018-07-14,Transport,33.51,
2018-07-15,Transport,36.24,
2018-07-17,Other,15.23,
2018-07-17,Utilities,35.0,
2018-07-17,Utilities,60.0,
2018-07-18,Other,28.54,
2018-07-18,Other,75.0,
2018-07-20,Other,61.43,
2018-07-20,Other,102.88,
2018-07-20,Other,102.88,
2018-07-20,Other,2000.0,
2018-07-21,Groceries,28.93,
2018-07-21,Other,30.0,
2018-07-23,Other,61.43,
2018-07-23,Other,9.58,
2018-07-24,Other,26.59,
2018-07-25,Other,74.99,
2018-07-26,Transport,33.67,
2018-07-28,Groceries,7.61,
2018-07-30,Other,34.38,
2018-07-31,Other,6.6,
2018-08-01,Shopping,13.13,
2018-08-02,Other,816.27,
2018-08-02,Transport,40.44,
2018-08-02,Other,1247.44,
2018-08-03,Groceries,6.27,
2018-08-03,Other,2000.0,
2018-08-04,Other,11.76,
2018-08-06,Shopping,76.47,
2018-08-09,Entertainment,10.69,
2018-08-09,Utilities,30.0,
2018-08-10,Other,89.4,
2018-08-11,Other,13.67,
2018-08-11,Transport,33.66,
2018-08-15,Other,269.56,
2018-08-15,Other,159.38,
2018-08-15,Transport,41.07,
2018-08-15,Groceries,5.64,
2018-08-15,Utilities,60.0,
2018-08-16,Other,269.56,
2018-08-16,Utilities,35.0,
2018-08-17,Other,2000.0,
2018-08-17,Shopping,14.98,
2018-08-18,Shopping,23.47,
2018-08-20,Other,75.0,
2018-08-21,Other,34.18,
2018-08-21,Other,99.76,
2018-08-21,Other,99.76,
